词形,词性,褒贬色彩,感情特点,近义词,
自命不凡,成语,贬义,批评,自鸣得意,
自欺欺人,成语,贬义,贬责,,
自强不息,成语,褒义,赞扬,发奋图强/力争上游,
自私,形容词,贬义,贬责,,
自我标榜,成语,贬义,憎恶,自我吹嘘,
自我陶醉,成语,贬义,批评,自鸣得意/自我欣赏,
自相残杀,成语,贬义,贬责,自相鱼肉/自相水火,
自以为是,成语,贬义,批评,,
自作聪明,成语,贬义,批评,,
自作自受,成语,贬义,鄙视,咎由自取/自食其果/作茧自缚,
纵容,动词,贬义,贬责,放纵/怂恿,
走狗,名词,贬义,憎恶,汉奸/走卒,
走过场,惯用语,贬义,批评,,
走后门,惯用语,贬义,憎恶,钻后门,
走私,动词,贬义,贬责,,
阻挠,动词,贬义,贬责,阻碍,
钻牛角尖,惯用语,贬义,批评,,
钻营,动词,贬义,贬责,,
罪大恶极,成语,贬义,憎恶,恶贯满盈/罪恶滔天,
罪恶,名词/形容词,贬义,憎恶,罪过/罪行,
罪恶昭著,成语,贬义,憎恶,罪大恶极/罪不容诛,
罪魁祸首,成语,贬义,憎恶,,
罪名,名词,贬义,憎恶,,
罪孽深重,成语,贬义,憎恶,罄竹难书/罪恶滔天/罪不容诛,
罪行,名词,贬义,憎恶,罪责/罪状,
醉生梦死,成语,贬义,贬责,灯红酒绿/花天酒地/纸醉金迷,
尊敬,动词,褒义,敬重,敬重/尊重,
尊重,动词,褒义,敬重,尊敬,
作弊,动词,贬义,贬责,舞弊,
作恶多端,成语,贬义,憎恶,无恶不作,
作奸犯科,成语,贬义,憎恶,,
作茧自缚,成语,贬义,批评,自作自受,
作威作福,成语,贬义,憎恶,横行霸道/耀武扬威,
做贼心虚,成语,贬义,鄙视,,
坐井观天,成语,贬义,批评,井底之蛙,
坐山观虎斗,惯用语,贬义,憎恶,,
坐失良机,成语,贬义,批评,,
坐视不救,成语,贬义,贬责,见死不救,
坐享其成,成语,贬义,贬责,不劳而获/坐收渔利,
坐以待毙,成语,贬义,批评,束手待毙/束手就擒,
做手脚,惯用语,贬义,憎恶,设圈套,
做作,形容词,贬义,厌恶,造作,
,,,,,
,,,,,
,,,,,
共1664条,褒义词,728条,,,
,贬义词,933条,,,
,兼褒贬,3条,标新立异/骄傲/美化,,
