词形,词性,褒贬色彩,感情特点,近义词,
忍辱负重,成语,褒义,赞扬,,
认贼作父,成语,贬义,憎恶,,
任劳任怨,成语,褒义,赞扬,不辞劳苦/不辞辛劳/埋头苦干,
任人唯亲,成语,贬义,批评,,
任人唯贤,成语,褒义,赞扬,任贤授能,
任性,形容词,贬义,批评,恣意,
日理万机,成语,褒义,赞扬,,
日暮途穷,成语,贬义,鄙视,山穷水尽,
日新月异,成语,褒义,赞扬,突飞猛进/一日千里,
荣幸,形容词,褒义,喜爱,光荣,
荣誉,名词,褒义,赞扬,,
容光焕发,成语,褒义,赞扬,神采奕奕,
融会贯通,成语,褒义,赞扬,,
蹂躏,动词,贬义,贬责,摧残/践踏,
如花似锦,成语,褒义,赞扬,,
如狼似虎,成语,贬义,憎恶,,
如鸟兽散,成语,贬义,憎恶,,
如日中天,成语,褒义,赞扬,如日方升,
孺子牛,惯用语,褒义,赞扬,,
辱骂,动词,贬义,贬责,诟骂/谩骂,
软刀子,惯用语,贬义,贬责,,
软骨头,惯用语,贬义,憎恶,,
软硬兼施,成语,贬义,贬责,,
撒谎,动词,贬义,贬责,扯谎/说谎,
撒赖,动词,贬义,批评,耍赖,
撒野,动词,贬义,贬责,放肆/撒泼,
三心二意,成语,贬义,批评,心不在焉,
散漫,形容词,贬义,批评,涣散,
散布,动词,贬义,贬责,,
丧家之犬,成语,贬义,憎恶,,
丧尽天良,成语,贬义,憎恶,丧心病狂,
丧权辱国,成语,贬义,憎恶,,
丧心病狂,成语,贬义,憎恶,丧尽天良,
色厉内荏,成语,贬义,憎恶,外强中干,
煞风景,惯用语,贬义,批评,杀风景,
杀害,动词,贬义,憎恶,暗杀/谋杀/杀戮,
杀鸡取卵,成语,贬义,批评,,
杀戮,动词,贬义,憎恶,残杀/杀害/屠戮/屠杀,
杀气腾腾,成语,贬义,憎恶,,
杀人不见血,惯用语,贬义,憎恶,,
杀人不眨眼,惯用语,贬义,憎恶,,
煽动,动词,贬义,贬责,唆使/挑动,
煽风点火,成语,贬义,贬责,,
善良,形容词,褒义,赞扬,和善/仁慈,
善始善终,成语,褒义,赞扬,有始有终,
擅自,副词,贬义,批评,,
伤风败俗,成语,贬义,贬责,,
伤害,动词,贬义,贬责,,
伤天害理,成语,贬义,憎恶,丧尽天良,
上蹿下跳,成语,贬义,贬责,跳梁小丑,
奢侈,形容词,贬义,批评,浪费/奢华/奢靡,
舍本逐末,成语,贬义,批评,本末倒置/舍本求末,
舍己为人,成语,褒义,赞扬,奋不顾身/舍己救人/舍生忘死,
舍近求远,成语,贬义,批评,,
舍生取义,成语,褒义,赞扬,杀身成仁,
舍生忘死,成语,褒义,赞扬,奋不顾身,
伸手,动词,贬义,批评/贬责,索要/插手,
身败名裂,成语,贬义,憎恶,,
身体力行,成语,褒义,赞扬,身先士卒/以身作则,
身先士卒,成语,褒义,赞扬,以身作则,
神采奕奕,成语,褒义,赞扬,容光焕发/神采飞扬,
神气活现,成语,贬义,批评,,
神圣,形容词,褒义,敬重,崇高/庄严,
生搬硬套,成语,贬义,批评,生吞活剥,
生灵涂炭,成语,贬义,贬责,,
生龙活虎,成语,褒义,赞扬,龙腾虎跃,
生气勃勃,成语,褒义,赞扬,生机勃勃,
声名狼藉,成语,贬义,憎恶,,
胜利,动词/名词,褒义,喜悦,成功,
盛名,名词,褒义,赞扬,名望/声望,
盛气凌人,成语,贬义,贬责,趾高气扬,
失败,动词,贬义,批评,,
失宠,动词,贬义,厌恶,,
失职,动词,贬义,批评,渎职,
实事求是,成语,褒义,赞扬,,
十全十美,成语,褒义,赞扬,完美无缺,
