词语,词性种类,词义数,词义序号,情感分类,强度,极性,辅助情感分类,强度,极性,,
势不可当,adj,1,1,PH,5,1,,,,,
惊天动地,adj,1,1,PC,7,0,,,,,
准儿,adj,1,1,PH,3,1,,,,,
其味无穷,adj,1,1,PH,9,0,PB,5,1,,
入木三分,adj,1,1,PH,7,1,,,,,
流芳千古,adj,1,1,PH,9,1,,,,,
声名远播,adj,1,1,PH,7,1,,,,,
有头有脸,adj,1,1,PH,5,1,,,,,
精美绝伦,adj,1,1,PH,9,1,,,,,
独占鳌头,adj,1,1,PH,7,1,,,,,
一枝独秀,adj,1,1,PH,7,1,,,,,
独具匠心,adj,1,1,PH,7,1,,,,,
鹤立鸡群,adj,1,1,PH,9,1,,,,,
不赖,adj,1,1,PH,3,1,,,,,
钢铁长城,noun,1,1,PH,5,1,,,,,
帮扶,verb,1,1,PH,3,1,,,,,
宝地,noun,1,1,PH,7,1,,,,,
报答,verb,1,1,PH,5,1,,,,,
辈出,verb,1,1,PH,3,1,,,,,
愤懑,adj,1,1,NA,5,2,NE,5,2,,
悲愤,adj,1,1,NA,7,0,NB,7,2,,
勃然大怒,adj,1,1,NA,9,0,,,,,
含怒,adj,1,1,NA,3,0,,,,,
恼羞成怒,adj,1,1,NA,5,0,,,,,
忿怒,adj,1,1,NA,5,0,,,,,
七窍生烟,adj,1,1,NA,5,0,,,,,
发标,verb,1,1,NA,5,0,,,,,
怒容,noun,1,1,NA,5,0,,,,,
吹胡子,idiom,1,1,NA,7,0,,,,,
唱老生的生气－吹胡子瞪眼镜,idiom,1,1,NA,7,0,,,,,
暴跳如雷,adj,1,1,NA,9,2,,,,,
戟指怒目,adj,1,1,NA,7,2,,,,,
怒形于色,adj,1,1,NA,3,2,,,,,
怒目切齿,adj,1,1,NA,5,2,,,,,
城下之盟,noun,1,1,NE,7,2,,,,,
悲恸,adj,1,1,NB,7,0,,,,,
悲哀,adj,1,1,NB,5,0,,,,,
悲伤,adj,1,1,NB,5,0,,,,,
衔冤,adj,1,1,NE,7,0,NB,7,2,,
心如刀割,adj,1,1,NB,9,0,,,,,
痛惜,verb,1,1,NB,7,0,NJ,1,2,,
悲酸,adj,1,1,NB,5,0,,,,,
举目无亲,adj,1,1,NB,3,0,,,,,
洒泪,verb,1,1,NB,5,0,,,,,
啜泣,verb,1,1,NB,5,0,,,,,
号啕,verb,1,1,NB,9,0,,,,,
最后一根稻草,idiom,1,1,NI,7,0,NB,1,2,,
抚髀兴叹,idiom,1,1,NB,3,2,,,,,
参辰卯酉,idiom,1,1,ND,7,0,,,,,
倒霉,adj,1,1,NB,3,0,,,,,
哀感天地,idiom,1,1,NB,7,0,,,,,
惨不忍闻,adj,1,1,NB,9,0,,,,,
不胜其苦,idiom,1,1,NB,5,0,,,,,
叹息,verb,1,1,NJ,3,0,,,,,
悲号,verb,1,1,NB,7,0,,,,,
诚惶诚恐,idiom,1,1,NC,5,0,NI,3,2,,
魂飞魄散,idiom,1,1,NC,9,0,NI,5,2,,
面如土色,idiom,1,1,NC,9,0,,,,,
疑惧,adj,1,1,NC,3,0,,,,,
幽灵,adj,1,1,NC,1,0,,,,,
三伏天发抖－不寒而栗,idiom,1,1,NC,5,0,,,,,
吞吞吐吐,idiom,1,1,NN,3,2,,,,,
不可终日,idiom,1,1,NC,7,0,,,,,
栗栗危惧,idiom,1,1,NC,5,0,,,,,
夏日可畏,idiom,1,1,NC,3,2,,,,,
败类,noun,1,1,NN,7,1,,,,,
剥削,verb,1,1,ND,3,2,NN,5,2,,
猖獗,adj,1,1,ND,3,2,,,,,
臭架子,noun,1,1,ND,1,2,,,,,
苟延残喘,idiom,1,1,ND,1,2,,,,,
悍然,adv,1,1,NN,5,2,,,,,
伎俩,noun,1,1,ND,3,2,,,,,
党羽,noun,1,1,ND,3,2,,,,,
讹诈,verb,1,1,ND,5,2,NN,7,2,,
飞扬跋扈,adj,1,1,NN,3,2,ND,7,2,,
复辟,verb,1,1,ND,1,2,,,,,
老狐狸,noun,1,1,ND,7,2,,,,,
笼络,verb,1,1,ND,3,2,NN,5,2,,
厌恶,verb,1,1,ND,7,2,,,,,
可憎,adj,1,1,ND,7,2,,,,,
叛徒,noun,1,1,ND,5,2,,,,,
欺凌,verb,1,1,ND,3,2,NN,5,2,,
敲诈,verb,1,1,ND,5,2,NN,5,2,,
屈辱,noun,1,1,ND,3,2,,,,,
轻蔑,verb,1,1,ND,7,2,,,,,
撒赖,verb,1,1,NN,3,2,ND,1,2,,
伤天害理,idiom,1,1,NN,9,2,,,,,
为所欲为,idiom,1,1,ND,5,2,NN,3,2,,
乌合之众,idiom,1,1,ND,5,2,,,,,
吸血鬼,noun,1,1,ND,7,2,,,,,
阴谋,noun,1,1,ND,5,2,,,,,
指鹿为马,idiom,1,1,NN,5,2,,,,,
罪有应得,idiom,1,1,ND,5,2,PA,3,1,,
看轻,verb,1,1,ND,1,2,,,,,
兽行,noun,1,1,ND,7,2,NN,9,2,,
贪色,adj,1,1,NN,3,2,,,,,
作践,verb,1,1,ND,9,2,,,,,
凶相毕露,idiom,1,1,ND,5,2,,,,,
棺材老板咬牙－恨不死人,idiom,1,1,ND,3,2,,,,,
行同狗彘,adj,1,1,ND,7,2,,,,,
视如寇仇,idiom,1,1,ND,7,2,,,,,
切齿腐心,idiom,1,1,ND,9,2,,,,,
令人作呕,adj,1,1,ND,9,2,,,,,
不以为然,adj,1,1,ND,7,2,,,,,
文人相轻,idiom,1,1,ND,3,2,,,,,
王八蛋,noun,1,1,ND,7,2,NA,7,2,,
姘妇,noun,1,1,ND,3,2,NN,5,2,,
揶揄,verb,1,1,ND,3,2,NN,1,2,,
癞皮狗,noun,1,1,ND,7,2,NN,5,2,,
元凶,noun,1,1,ND,3,2,,,,,
妖孽,noun,1,1,ND,7,2,,,,,
骚货,noun,1,1,ND,9,2,NN,9,2,,
中伤,verb,1,1,ND,5,2,,,,,
嘈杂,adj,1,1,NN,1,2,,,,,
苦恼,adj,1,1,NE,5,0,,,,,
犯愁,adj,1,1,NE,1,0,,,,,
颓然,adj,1,1,NE,1,0,NB,5,2,,
忍气吞声,verb,1,1,NE,7,0,,,,,
不耐烦,adj,1,1,NE,5,0,,,,,
焦炙,adj,1,1,NE,7,0,NI,1,2,,
疑念,noun,1,1,NE,1,0,,,,,
愧恨,adj,1,1,NE,7,0,NH,5,2,,
沉寂,adj,1,1,NE,7,0,,,,,
愁肠寸断,idiom,1,1,NE,9,2,,,,,
忧心如薰,idiom,1,1,NE,7,2,,,,,
生吞蜈蚣－百爪挠心,idiom,1,1,NE,9,2,,,,,
贫穷,adj,1,1,NE,5,0,NB,5,2,,
无所措手足,idiom,1,1,NE,5,2,,,,,
不如意事常八九,idiom,1,1,NE,3,2,,,,,
燥热,adj,1,1,NE,3,2,NN,1,2,,
将就,idiom,1,1,NE,1,0,,,,,
羞愧,adj,1,1,NG,5,0,NH,3,2,,
脸红,adj,1,1,NG,3,0,,,,,
无面目见江东父老,idiom,1,1,NG,9,2,,,,,
抱愧,adj,1,1,NH,3,0,,,,,
愧怍,adj,1,1,NH,5,0,,,,,
悔恨,adj,1,1,NH,9,0,,,,,
涵容,adj,1,1,PK,1,0,,,,,
愧悔无地,idiom,1,1,NH,9,0,,,,,
船到江心补漏迟,idiom,1,1,NH,9,2,,,,,
慌乱,adj,1,1,NI,7,0,,,,,
如坐针毡,idiom,1,1,NE,7,0,,,,,
心焦,adj,1,1,NE,5,0,,,,,
张皇,adj,1,1,NI,3,2,,,,,
浮躁,adj,1,1,NE,5,2,,,,,
周章,adj,1,1,NE,3,0,,,,,
心如悬旌,idiom,1,1,NI,5,2,,,,,
鞋里长草－慌了脚,idiom,1,1,NI,3,0,,,,,
紧急,adj,1,1,NI,3,0,,,,,
五色无主,idiom,1,1,NI,7,0,,,,,
脚忙手乱,idiom,1,1,NI,5,2,,,,,
心如火焚,idiom,1,1,NE,9,2,,,,,
死心,adj,1,1,NJ,9,0,NB,3,2,,
心灰意冷,adj,1,1,NJ,5,0,,,,,
不可企及,adj,1,1,NJ,7,2,,,,,
怀揣冰棍－凉透心,idiom,1,1,NJ,9,0,,,,,
嫉妒,adj,1,1,NK,7,2,,,,,
醋意,noun,1,1,NK,1,2,,,,,
忧人发迹怕自穷,idiom,1,1,NC,1,0,,,,,
猜忌,verb,1,1,NL,5,2,,,,,
疑团,noun,1,1,NL,7,0,,,,,
田里的蚯蚓－满肚疑,idiom,1,1,NL,1,0,,,,,
败家子,noun,1,1,NN,7,2,,,,,
闭门造车,adj,1,1,NN,5,2,,,,,
草包,noun,1,1,NN,7,2,,,,,
乘人之危,idiom,1,1,NN,5,2,ND,3,2,,
记仇,verb,1,1,NN,5,2,ND,3,2,,
妄求,noun,1,1,NN,3,2,,,,,
累世通好,idiom,1,1,PH,5,1,,,,,
人浮于事,idiom,1,1,NN,7,2,,,,,
繁荣昌盛,idiom,1,1,PH,7,1,,,,,
鸿均之世,idiom,1,1,PH,5,1,,,,,
年丰时稔,idiom,1,1,PH,5,1,,,,,
五风十雨,idiom,1,1,PH,5,1,,,,,
分崩离析,idiom,1,1,NJ,5,2,NB,3,2,,
人欲横流,idiom,1,1,NN,7,2,,,,,
拨乱反治,idiom,1,1,PH,5,1,,,,,
秋荼密网,idiom,1,1,NN,5,2,,,,,
抑塞磊落,idiom,1,1,PH,3,1,,,,,
鞭笞天下,idiom,1,1,PH,7,1,,,,,
腹中兵甲,idiom,1,1,PH,7,1,,,,,
牛刀小试,idiom,1,1,PH,3,1,,,,,
臣门如市，臣心如水,idiom,1,1,PH,7,1,PD,5,1,,
欺瞒夹账,idiom,1,1,NN,9,2,ND,3,2,,
卖官鬻狱,idiom,1,1,NN,9,2,ND,3,2,,
口快心直,idiom,1,1,PH,1,1,,,,,
夺人所好,idiom,1,1,NN,7,2,ND,3,2,,
营私舞弊,idiom,1,1,NN,7,2,ND,3,2,,
缓急相济,idiom,1,1,PH,3,1,,,,,
久要不忘,idiom,1,1,PH,7,1,PG,5,1,,
言而不渝,idiom,1,1,PH,7,1,,,,,
卖友求荣,idiom,1,1,NN,9,2,ND,7,2,,
废奢长俭,idiom,1,1,PH,7,1,,,,,
宽打窄用,idiom,1,1,PH,5,1,,,,,
斫雕为朴,idiom,1,1,PH,9,1,PD,5,1,,
金迷纸醉,idiom,1,1,NN,9,2,ND,3,2,,
天下箸处,idiom,1,1,NN,7,2,,,,,
别具只眼,idiom,1,1,PH,5,1,,,,,
推陈出新,idiom,1,1,PH,7,1,,,,,
地利人和,idiom,1,1,PE,5,1,,,,,
一路顺风,idiom,1,1,PE,5,1,,,,,
难于上天,idiom,1,1,NJ,7,0,,,,,
矢志不愈,idiom,1,1,PH,7,1,,,,,
称体裁衣,idiom,1,1,PH,1,1,,,,,
刚克柔克,idiom,1,1,PH,1,1,,,,,
知之为知之，不知为不知,idiom,1,1,PH,3,1,,,,,
唱筹量沙,idiom,1,1,NE,1,2,,,,,
以人废言,idiom,1,1,NN,5,2,,,,,
越凫楚乙,idiom,1,1,NN,5,2,,,,,
东躲西藏,idiom,1,1,NN,3,2,,,,,
大相径庭,idiom,1,1,NN,5,2,,,,,
判若云泥,idiom,1,1,NN,7,2,,,,,
天悬地隔,idiom,1,1,NN,3,0,,,,,
坠茵落溷,idiom,1,1,NE,5,2,,,,,
力疾从公,idiom,1,1,PH,5,1,,,,,
握蛇骑虎,idiom,1,1,NC,7,0,,,,,
日暮穷途,idiom,1,1,NE,7,0,NC,5,2,,
一板三眼,idiom,1,1,PH,5,1,,,,,
山重水复,idiom,1,1,NE,5,0,,,,,
抱火寝薪,idiom,1,1,NC,5,0,,,,,
三反四覆,idiom,1,1,NN,5,2,,,,,
归全反真,idiom,1,1,PH,3,1,,,,,
再作冯妇,idiom,1,1,PH,5,1,,,,,
智者千虑，必有一失,idiom,1,1,NN,1,0,,,,,
与人为善,idiom,1,1,PH,5,1,,,,,
同归于尽,idiom,1,1,NJ,1,2,,,,,
良工巧匠,idiom,1,1,PH,5,1,,,,,
艺高胆大,idiom,1,1,PH,5,1,,,,,
三对六面,idiom,1,1,PE,1,0,,,,,
火上浇油,idiom,1,1,NN,7,2,,,,,
变古易常,idiom,1,1,PH,5,1,,,,,
先天不足,idiom,1,1,NN,1,2,,,,,
道高一尺，魔高一仗,idiom,1,1,PH,1,0,,,,,
摇身一变,idiom,1,1,PC,7,0,,,,,
乘风转舵,idiom,1,1,NN,5,2,ND,3,2,,
以火救火,idiom,1,1,NN,3,2,,,,,
海阔天空,idiom,1,1,PA,5,1,PE,3,1,,
善气迎人,idiom,1,1,PH,1,1,,,,,
珠联璧合,idiom,1,1,PH,7,1,,,,,
敢怒不敢言,idiom,1,1,NA,5,2,,,,,
麟角凤嘴,idiom,1,1,PH,7,1,,,,,
致死不悟,idiom,1,1,NN,7,2,,,,,
我行我素,idiom,1,1,NN,5,2,,,,,
五马分尸,idiom,1,1,NC,5,2,,,,,
黄口稚子,idiom,1,1,NN,5,2,,,,,
天有不测风云,idiom,1,1,NC,3,2,,,,,
茫无头绪,idiom,1,1,NE,5,2,,,,,
不知天高地厚,idiom,1,1,NN,5,2,,,,,
洞房花烛,idiom,1,1,PA,5,1,,,,,
干啼湿哭,idiom,1,1,NB,5,0,,,,,
泣下沾襟,idiom,1,1,NB,7,0,,,,,
嘘唏不已,idiom,1,1,NB,5,0,,,,,
三媒六证,idiom,1,1,PG,5,0,,,,,
哑然失笑,idiom,1,1,PA,3,0,PE,1,1,,
陶猗之家,idiom,1,1,PH,5,1,,,,,
峻宇雕墙,idiom,1,1,PH,3,1,,,,,
立锥之地,idiom,1,1,NN,1,2,,,,,
赏信罚明,idiom,1,1,PH,5,1,PG,3,1,,
黄道吉日,idiom,1,1,PA,3,1,,,,,
旁门左道,idiom,1,1,ND,7,2,NN,5,2,,
大难临头,idiom,1,1,NC,5,2,,,,,
骨瘦如柴,idiom,1,1,NN,5,2,,,,,
药店飞龙,idiom,1,1,NN,5,2,,,,,
不治之症,idiom,1,1,NN,5,2,,,,,
披麻戴孝,idiom,1,1,NB,5,0,,,,,
鳏寡孤独,idiom,1,1,NB,7,0,,,,,
离群索居,idiom,1,1,NB,3,0,,,,,
相门有相,idiom,1,1,PE,5,0,PH,3,1,,
驰名天下,idiom,1,1,PH,9,1,PD,7,1,,
名标青史,idiom,1,1,PH,9,1,PD,7,1,,
人死留名,idiom,1,1,PH,5,1,PD,1,1,,
谈笑风生,idiom,1,1,PH,7,1,,,,,
不经之谈,idiom,1,1,NN,3,2,,,,,
混为一谈,idiom,1,1,NN,3,2,,,,,
游谈无根,idiom,1,1,NN,5,2,,,,,
巧言花语,idiom,1,1,NN,5,2,,,,,
口头禅,idiom,1,1,NN,3,2,,,,,
多嘴多舌,idiom,1,1,NN,5,2,,,,,
唠唠叨叨,idiom,1,1,NN,3,2,,,,,
絮絮叨叨,idiom,1,1,NN,3,2,,,,,
即即世世,idiom,1,1,ND,3,2,,,,,
顾名思义,idiom,1,1,PH,1,0,,,,,
随时制宜,idiom,1,1,PH,3,1,,,,,
没齿不忘,idiom,1,1,PH,7,1,,,,,
顿开茅塞,idiom,1,1,PA,3,1,,,,,
了若指掌,idiom,1,1,PG,5,1,PH,3,1,,
先知先觉,idiom,1,1,PH,3,1,,,,,
抚躬责己,idiom,1,1,PH,5,1,,,,,
隐晦曲折,idiom,1,1,NN,3,2,,,,,
耳食之谈,idiom,1,1,NN,3,2,,,,,
靠天吃饭,idiom,1,1,NN,1,0,,,,,
强龙不压地头蛇,idiom,1,1,NN,1,2,,,,,
倚官仗势,idiom,1,1,NN,5,2,,,,,
不耕而食，不蚕而衣,idiom,1,1,NN,3,2,,,,,
欺罔视听,idiom,1,1,NN,7,2,ND,5,2,,
甜嘴蜜舌,idiom,1,1,NN,5,2,ND,3,2,,
鸿飞冥冥,idiom,1,1,PE,5,1,PA,3,1,,
前门进虎，后门进狼,idiom,1,1,NC,3,2,,,,,
在劫难逃,idiom,1,1,NC,5,2,NI,3,2,,
草衣木食,idiom,1,1,NB,1,2,,,,,
等米下锅,idiom,1,1,NB,1,2,,,,,
家道壁立,idiom,1,1,NB,3,2,,,,,
纳履踵决,idiom,1,1,NB,3,2,,,,,
飞短流长,idiom,1,1,NN,5,2,,,,,
薏苡明珠,idiom,1,1,NE,5,2,NB,3,2,,
利息秋毫,idiom,1,1,PH,1,1,,,,,
关门闭户,idiom,1,1,NJ,1,0,,,,,
豺狐之心,idiom,1,1,NN,7,2,ND,5,2,,
瓜蔓抄,idiom,1,1,NN,7,2,ND,5,2,,
玉粒桂薪,idiom,1,1,NE,3,2,,,,,
债台高筑,idiom,1,1,NE,7,2,,,,,
刚毅不讷,idiom,1,1,PH,7,1,,,,,
无拳无勇,idiom,1,1,NN,5,2,,,,,
鞍不离马，甲不离身,idiom,1,1,PH,5,1,,,,,
枕戈待旦,idiom,1,1,PH,5,1,,,,,
迟疑不决,idiom,1,1,NL,3,2,,,,,
仓卒应战,idiom,1,1,NI,9,2,,,,,
犹豫不定,idiom,1,1,NN,3,2,NL,1,2,,
低首下心,idiom,1,1,NN,3,2,,,,,
盖不由己,idiom,1,1,NE,3,2,,,,,
锱铢必较,idiom,1,1,NN,7,2,,,,,
张公吃酒李公醉,idiom,1,1,NE,3,2,NN,1,2,,
鼠窜狼奔,idiom,1,1,ND,5,2,NN,3,2,,
嘴甜心苦,idiom,1,1,NN,5,2,ND,1,2,,
强盗挂念珠,idiom,1,1,ND,7,2,NN,5,2,,
见事风生,idiom,1,1,NN,5,2,PH,1,1,,
报仇雪恨,idiom,1,1,ND,7,2,,,,,
招权纳赂,idiom,1,1,NN,5,2,,,,,
缓不济急,idiom,1,1,NI,5,0,,,,,
屏声息气,idiom,1,1,NC,3,0,,,,,
歧路亡羊,idiom,1,1,NN,5,2,,,,,
千了百当,idiom,1,1,PH,3,1,,,,,
冬扇夏炉,idiom,1,1,NN,5,2,,,,,
喧宾夺主,idiom,1,1,NN,5,2,,,,,
日月交食,idiom,1,1,NN,5,2,ND,3,2,,
漏脯充饥,idiom,1,1,NN,7,2,,,,,
束手待毙,idiom,1,1,NN,5,2,,,,,
抛头露面,idiom,1,1,NN,5,2,,,,,
原形毕露,idiom,1,1,ND,7,2,NN,5,2,,
因祸得福,idiom,1,1,PE,5,1,PA,3,1,,
人民城郭,idiom,1,1,NB,5,2,,,,,
联翩而至,idiom,1,1,PA,5,0,,,,,
自相残杀,idiom,1,1,NN,7,2,NB,7,2,,
强人所难,idiom,1,1,NN,5,2,,,,,
有隙可乘,idiom,1,1,NN,3,2,,,,,
欺善怕恶,idiom,1,1,NN,7,2,ND,5,2,,
肆意横行,idiom,1,1,NN,7,2,ND,5,2,,
横行天下,idiom,1,1,NN,7,2,,,,,
知情不举,idiom,1,1,NN,7,2,,,,,
博士买驴,idiom,1,1,NN,3,2,,,,,
屦贱踊贵,idiom,1,1,NN,3,2,,,,,
结党营私,idiom,1,1,NN,9,2,,,,,
招降纳叛,idiom,1,1,NN,5,2,,,,,
任其自便,idiom,1,1,NN,3,2,,,,,
惹祸招殃,idiom,1,1,NN,5,2,,,,,
招风惹草,idiom,1,1,NN,5,2,,,,,
鼓噪而起,idiom,1,1,NN,5,2,,,,,
出乖露丑,idiom,1,1,NN,5,2,,,,,
谏鼓谤木,idiom,1,1,PH,5,1,,,,,
高下在心,idiom,1,1,PH,3,1,,,,,
殚智竭力,idiom,1,1,PH,7,1,,,,,
草草收兵,idiom,1,1,NN,5,2,,,,,
图谋不轨,idiom,1,1,NN,5,2,,,,,
贪欢逐乐,idiom,1,1,NN,7,2,,,,,
春深似海,idiom,1,1,PB,5,1,PH,3,1,,
天朗气清,idiom,1,1,PB,7,1,PH,3,1,,
秋高气肃,idiom,1,1,PB,5,1,PH,1,1,,
天府之国,idiom,1,1,PH,9,1,PB,3,1,,
群芳竟艳,idiom,1,1,PB,5,1,PA,1,1,,
绿水青山,idiom,1,1,PB,7,1,PA,1,1,,
光彩耀日,idiom,1,1,PH,5,1,PB,3,1,,
除恶务尽,idiom,1,1,NA,5,0,,,,,
评头品足,idiom,1,1,NN,5,2,ND,3,2,,
胆大包天,idiom,1,1,NN,7,2,,,,,
涸泽而渔,idiom,1,1,NN,7,2,,,,,
搔头弄姿,idiom,1,1,ND,5,2,NN,3,2,,
逼上梁山,idiom,1,1,NA,5,0,,,,,
反客为主,idiom,1,1,PH,1,3,NN,1,3,,
小试锋芒,idiom,1,1,PH,3,1,,,,,
左右开弓,idiom,1,1,PH,3,1,,,,,
出口成章,idiom,1,1,PH,7,1,,,,,
兼资文武,idiom,1,1,PH,7,1,,,,,
陆海潘江,idiom,1,1,PH,9,1,,,,,
七步成诗,idiom,1,1,PH,7,1,,,,,
神机妙算,idiom,1,1,PH,9,1,,,,,
胸中甲兵,idiom,1,1,PH,7,1,,,,,
卓荦超伦,idiom,1,1,PH,9,1,,,,,
殚见洽文,idiom,1,1,PH,7,1,,,,,
闳大不经,idiom,1,1,PH,7,1,,,,,
通人达才,idiom,1,1,PH,7,1,,,,,
蜀犬吠日,idiom,1,1,NN,3,2,,,,,
真知灼见,idiom,1,1,PH,5,1,,,,,
白日升天,idiom,1,1,PA,3,1,,,,,
破壁飞去,idiom,1,1,PA,5,1,,,,,
彪炳千古,idiom,1,1,PH,9,1,PD,7,1,,
涉笔成趣,idiom,1,1,PH,7,1,PB,3,1,,
赞不绝口,idiom,1,1,PH,9,1,PB,3,1,,
折足覆餗,idiom,1,1,NN,5,2,,,,,
土牛木马,idiom,1,1,NN,5,2,,,,,
玉卮无当,idiom,1,1,NN,5,2,,,,,
鸠形鹄面,idiom,1,1,NN,3,2,,,,,
时通运泰,idiom,1,1,PA,5,1,,,,,
放歌纵酒,idiom,1,1,PA,5,1,,,,,
凤冠霞帔,idiom,1,1,PB,1,1,PH,1,1,,
桃李满天下,idiom,1,1,PD,7,1,PH,5,1,,
再造之恩,idiom,1,1,PD,7,1,,,,,
藏器待时,idiom,1,1,PE,5,1,,,,,
可操左券,idiom,1,1,PG,9,1,,,,,
根深叶茂,idiom,1,1,PH,7,1,,,,,
一箭双雕,idiom,1,1,PH,5,1,,,,,
功高不赏,idiom,1,1,PH,9,1,,,,,
不遗余力,idiom,1,1,PH,7,1,,,,,
兼功自厉,idiom,1,1,PH,7,1,,,,,
卧薪尝胆,idiom,1,1,PH,9,1,,,,,
拔树寻根,idiom,1,1,PH,7,1,,,,,
明目达聪,idiom,1,1,PH,5,1,,,,,
手到病除,idiom,1,1,PH,5,1,,,,,
胆略兼人,idiom,1,1,PH,3,1,,,,,
凤鸣朝阳,idiom,1,1,PH,5,1,,,,,
鸾翔凤集,idiom,1,1,PH,5,1,,,,,
祥麟威凤,idiom,1,1,PH,7,1,,,,,
下笔有神,idiom,1,1,PH,5,1,,,,,
未雨绸缪,idiom,1,1,PH,5,1,,,,,
仙风道骨,idiom,1,1,PH,7,1,,,,,
一表堂堂,idiom,1,1,PH,5,1,PB,3,1,,
感恩图报,idiom,1,1,PH,5,1,,,,,
妙处不传,idiom,1,1,PH,5,1,,,,,
如闻其声，如见其人,idiom,1,1,PH,3,1,,,,,
危言危行,idiom,1,1,PH,5,1,,,,,
执法不阿,idiom,1,1,PH,5,1,,,,,
平地楼台,idiom,1,1,PH,5,1,,,,,
福至心灵,idiom,1,1,PH,5,1,,,,,
改弦易辙,idiom,1,1,PH,3,0,,,,,
风樯阵马,idiom,1,1,PH,5,1,,,,,
饮醇自醉,idiom,1,1,PH,3,1,,,,,
人自为战,idiom,1,1,PH,3,1,,,,,
及锋而试,idiom,1,1,PH,3,1,,,,,
兵强将勇,idiom,1,1,PH,5,1,,,,,
节节胜利,idiom,1,1,PH,5,1,,,,,
所向披靡,idiom,1,1,PH,7,1,,,,,
熊罴之师,idiom,1,1,PH,5,1,,,,,
择善而从,idiom,1,1,PH,3,1,,,,,
孺子可教,idiom,1,1,PH,5,1,,,,,
改邪归正,idiom,1,1,PH,5,1,,,,,
一改故辙,idiom,1,1,PH,5,1,,,,,
袒裼裸裎,idiom,1,1,NN,5,2,PH,1,1,,
苟合取容,idiom,1,1,ND,5,2,NN,5,2,,
头童齿豁,idiom,1,1,NB,3,0,,,,,
如到宝山空手回,idiom,1,1,NJ,5,2,,,,,
大厦将倾，一木难支,idiom,1,1,NB,7,2,NJ,5,2,,
兵败如山倒,idiom,1,1,NJ,5,2,,,,,
弃甲倒戈,idiom,1,1,NN,7,2,NJ,5,2,,
望风破胆,idiom,1,1,NJ,5,2,,,,,
彩凤随鸦,idiom,1,1,NJ,3,2,,,,,
一事无成,idiom,1,1,NN,5,2,,,,,
不肖子孙,idiom,1,1,NN,5,2,,,,,
虚度年华,idiom,1,1,NN,5,2,,,,,
怙恶不悛,idiom,1,1,NN,9,2,,,,,
一丘之貉,idiom,1,1,NN,5,2,ND,7,2,,
偷东摸西,idiom,1,1,NN,7,2,ND,3,2,,
紧行无好步,idiom,1,1,NN,1,0,,,,,
放虎自卫,idiom,1,1,NN,7,2,,,,,
谬种流传,idiom,1,1,NN,5,2,,,,,
粗服乱头,idiom,1,1,NN,1,2,,,,,
阿其所好,idiom,1,1,NN,5,2,ND,3,2,,
冥室椟棺,idiom,1,1,ND,7,2,NE,5,2,,
不辨龙蛇,idiom,1,1,NN,5,2,,,,,
鹦鹉学舌,idiom,1,1,NN,3,2,,,,,
投机倒把,idiom,1,1,NN,7,2,ND,3,2,,
以耳为目,idiom,1,1,NN,3,2,,,,,
咎由自取,idiom,1,1,NN,7,2,ND,5,2,,
引狗入寨,idiom,1,1,NN,9,2,,,,,
自讨没趣,idiom,1,1,NN,5,2,,,,,
姗姗来迟,idiom,1,1,NN,1,2,,,,,
何其相似乃尔,idiom,1,1,PH,1,0,PG,1,1,,
倾家荡产,idiom,1,1,NB,5,0,NJ,3,2,,
蠹众木折,idiom,1,1,NN,5,2,,,,,
化为泡影,idiom,1,1,NJ,5,0,,,,,
尺布斗栗,idiom,1,1,NN,1,0,,,,,
漏泄春光,idiom,1,1,NN,1,0,,,,,
摇旗打鼓,idiom,1,1,NN,1,0,,,,,
徙宅忘妻,idiom,1,1,NN,7,2,,,,,
恃勇轻敌,idiom,1,1,NN,3,2,,,,,
伯歌季舞,idiom,1,1,PH,3,1,,,,,
欢喜冤家,idiom,1,1,PB,1,0,,,,,
金石交,idiom,1,1,PB,1,0,,,,,
笙磬同音,idiom,1,1,PB,1,0,,,,,
竹马之好,idiom,1,1,PB,1,0,,,,,
傥来之物,idiom,1,1,PC,3,0,,,,,
平地一声雷,idiom,1,1,PC,5,0,,,,,
君子之交,idiom,1,1,PH,3,1,PD,1,1,,
单相思,idiom,1,1,PF,3,0,,,,,
赤身露体,idiom,1,1,NN,1,0,,,,,
淡妆浓抹,idiom,1,1,NN,3,2,PH,1,1,,
逼真逼肖,idiom,1,1,PH,5,1,,,,,
格物穷理,idiom,1,1,PH,1,0,,,,,
去伪存真,idiom,1,1,PH,3,1,,,,,
追本穷源,idiom,1,1,PH,1,0,,,,,
流言止于智者,idiom,1,1,PH,1,0,,,,,
杅穿皮蠹,idiom,1,1,PH,3,0,,,,,
丁一确二,idiom,1,1,PH,3,1,PG,3,1,,
明辨是非,idiom,1,1,PH,3,1,,,,,
南征北战,idiom,1,1,PH,1,0,,,,,
拐弯抹角,idiom,1,1,NN,3,2,ND,1,2,,
虚情假意,idiom,1,1,NN,9,2,ND,3,2,,
奋勇当先,idiom,1,1,PH,7,1,PD,3,1,,
身先士卒,idiom,1,1,PH,9,1,PD,3,1,,
碧血丹心,idiom,1,1,PH,7,1,,,,,
食少事繁,idiom,1,1,PH,5,1,,,,,
风雨同舟,idiom,1,1,PH,5,1,PB,1,1,,
问安视膳,idiom,1,1,PH,5,1,PB,1,1,,
